name,description,price,image
Laundry Reguler,Laundry kiloan selesai dalam 3 hari kerja dijamin bersih rapi wangi tepat waktu,9000,https://bandarlaundry.github.io/pos/image/lpos-laundry-reguler.png
Laundry Ekspres,Laundry kiloan selesai dalam 1 hari kerja dijamin bersih rapi wangi tepat waktu,12000,https://bandarlaundry.github.io/pos/image/lpos-laundry-ekspres.png
Laundry Kilat,Laundry kiloan selesai dalam 6 jam bisa ditunggu atau kita antar,15000,https://bandarlaundry.github.io/pos/image/lpos-laundry-kilat.png
Karpet Sedang,Laundry karpet ukuran sedang dihitung dalam per meter persegi panjang dikalikan lebar,15000,https://bandarlaundry.github.io/pos/image/lpos-laundry-karpet-sedang.png
Perlengkapan Sholat,Perlengkapan sholat gratis untuk pelanggan setia,0,https://bandarlaundry.github.io/pos/image/lpos-perlengkapan-sholat.png
Karpet Tebal,Laundry karpet tebal dihitung dalam per meter persegi panjang dikalikan lebar,17500,https://bandarlaundry.github.io/pos/image/lpos-laundry-karpet-tebal.png
Karpet Tipis,Laundry karpet tipis dihitung dalam per meter persegi panjang dikalikan lebar,12500,https://bandarlaundry.github.io/pos/image/lpos-laundry-karpet-tipis.png
Bedcover Queen,Laundry bedcover ukuran sedang queen 160 x 210 cm di bawah king,30000,https://bandarlaundry.github.io/pos/image/lpos-laundry-bedcover-queen.png
Bedcover King,Laundry bedcover ukuran King besar 180 x 200 cm di bawah super king,35000,https://bandarlaundry.github.io/pos/image/lpos-laundry-bedcover-king.png
Bedcover Single,Laundry bedcover ukuran single kecil 100 x 200 cm muat satu orang,25000,https://bandarlaundry.github.io/pos/image/lpos-laundry-bedcover-single.png
Boneka <15cm,Laundry boneka kecil ukuran kurang dari 15 cm dihitung satuan,8500,https://bandarlaundry.github.io/pos/image/lpos-laundry-boneka-15.png
Boneka 20-30 cm,Laundry boneka kecil ukuran 20 sampai 30 cm dihitung satuan,11500,https://bandarlaundry.github.io/pos/image/lpos-laundry-boneka-20.png
Boneka 30-40 cm,Laundry boneka sedang ukuran 30 sampai 40 cm dihitung satuan,15000,https://bandarlaundry.github.io/pos/image/lpos-laundry-boneka-30.png
Boneka 40-50 cm,Laundry boneka sedang ukuran 40 sampai 50 cm dihitung satuan,18500,https://bandarlaundry.github.io/pos/image/lpos-laundry-boneka-40.png
Boneka 50-70 cm,Laundry boneka besar ukuran 50 sampai 70 cm dihitung satuan,26000,https://bandarlaundry.github.io/pos/image/lpos-laundry-boneka-50.png
Boneka 70-80 cm,Laundry boneka besar ukuran 70 sampai 80 cm dihitung satuan,33000,https://bandarlaundry.github.io/pos/image/lpos-laundry-boneka-70.png
Boneka 80-100 cm,Laundry boneka jumbo ukuran 80 sampai 100 cm dihitung satuan,40000,https://bandarlaundry.github.io/pos/image/lpos-laundry-boneka-80.png
Sepatu Balap, Laundry sepatu balap dewasa dihitung satuan,14000,https://bandarlaundry.github.io/pos/image/lpos-laundry-sepatu-balap.png
Sepatu Balap Anak,Laundry sepatu balap anak dihitung satuan,14000,https://bandarlaundry.github.io/pos/image/lpos-laundry-sepatu-balap-anak.png
Sepatu Balet Anak,Laundry sepatu balet anak dihitung satuan,15500,https://bandarlaundry.github.io/pos/image/lpos-laundry-sepatu-balet-anak.png
Sepatu Boot,Laundry sepatu boot dewasa dihitung satuan,27000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Sepatu Olahraga,Laundry sepatu olahraga dewasa dihitung satuan,24500,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Sepatu Olahraga Anak,Laundry sepatu olahraga anak dihitung satuan,12000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Sepatu Pantofel Kulit,Laundry sepatu kulit pantofel untuk dewasa dihitung satuan,29000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Sepatu Pantofel Kulit Anak,Laundry sepatu kulit pantofel untuk anak dihitung satuan,14000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Sepatu Wanita,Laundry sepatu khusus untuk wanita dewasa dihitung satuan,27500,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Sepatu Wanita Sebetis,Laundry sepatu khusus  ukuran sebetis untuk wanita dewasa dihitung satuan,37500,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Busa Besar,Laundry kasur busa ukuran besar dihitung satuan,50500,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Busa Double,Laundry kasur busa ukuran double dihitung satuan,55000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Busa Kecil,Laundry kasur busa ukuran kecil dihitung satuan,36000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Busa Keranjang,Laundry kasur busa jenis keranjang dihitung satuan,21000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Busa Single,Laundry kasur busa ukuran single dihitung satuan,48500,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Dakron Besar,Laundry kasur jenis dakron ukuran besar dihitung satuan,50500,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Dakron Sedang,Laundry kasur jenis dakron ukuran sedang dihitung satuan,43000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Palembang Besar,Laundry kasur jenis palembang ukuran besar dihitung satuan,50500,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Palembang Sedang,Laundry kasur jenis palembang ukuran sedang dihitung satuan,43000,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
Kasur Palembang Single,Laundry kasur jenis palembang ukuran single dihitung satuan,41500,https://bandarlaundry.github.io/pos/image/lpos-laundry-satuan.png
